End Time,Meter,Start Time,avgAmp,avgPf,avgTHD,avgVolt,l1Amp,l1Kva,l1Kvar,l1Kw,l1Pf,l1THD,l1Volt,l2Amp,l2Kva,l2Kvar,l2Kw,l2Pf,l2THD,l2Volt,l3Amp,l3Kva,l3Kvar,l3Kw,l3Pf,l3THD,l3Volt,outputAmp,totalKva,totalKvar,totalKw
2025-11-17 00:31:59,PQM,2025-11-17 00:31:00,1344.63,8.82,142.55,282.25,1415.75,399.20,10.12,397.66,99.61,8.99,279.32,1294.52,348.29,55.55,341.56,98.07,9.73,267.91,1323.61,401.48,76.87,392.55,97.78,7.74,299.51,1131.77,98.49,,1148.98
2025-11-17 00:32:59,PQM,2025-11-17 00:32:00,1349.91,8.79,130.32,282.42,1426.74,398.75,4.84,397.35,99.65,8.86,279.55,1289.64,343.94,51.31,338.21,98.33,9.64,267.97,1333.35,400.42,74.17,391.80,97.85,7.86,299.74,1127.35,98.61,,1143.10
2025-11-17 00:33:59,PQM,2025-11-17 00:33:00,1356.69,8.93,134.18,282.38,1439.99,403.87,7.42,402.37,99.63,9.00,279.54,1297.95,347.52,51.12,341.68,98.32,9.81,267.88,1332.12,401.48,75.64,392.64,97.80,7.99,299.73,1136.69,98.58,,1152.87
2025-11-17 00:34:59,PQM,2025-11-17 00:34:00,1396.38,9.34,141.61,282.34,1467.94,409.57,10.01,407.58,99.51,9.54,279.42,1341.31,357.07,54.88,350.64,98.20,10.33,267.95,1379.90,410.37,76.72,401.55,97.85,8.16,299.66,1159.76,98.52,,1177.01
2025-11-17 00:35:59,PQM,2025-11-17 00:35:00,1326.07,8.85,133.64,282.54,1398.47,393.67,8.16,391.64,99.48,8.96,279.59,1267.56,342.42,52.28,336.83,98.37,9.68,268.16,1312.17,395.29,73.20,386.72,97.83,7.90,299.86,1115.19,98.56,,1131.37
2025-11-17 00:36:59,PQM,2025-11-17 00:36:00,1340.95,8.82,134.18,282.48,1406.86,394.26,8.36,392.56,99.57,8.98,279.48,1290.24,344.79,52.82,339.04,98.33,9.67,268.14,1325.75,396.71,73.00,388.20,97.85,7.82,299.81,1119.80,98.59,,1135.76
2025-11-17 00:37:59,PQM,2025-11-17 00:37:00,1348.05,8.83,138.68,282.48,1411.01,394.43,9.03,392.39,99.48,9.01,279.41,1298.62,346.13,55.55,339.63,98.12,9.79,268.14,1334.52,401.16,74.09,392.04,97.73,7.70,299.90,1124.07,98.44,,1141.72
2025-11-17 00:38:59,PQM,2025-11-17 00:38:00,1288.96,9.14,116.25,282.84,1354.09,379.21,4.20,377.19,99.47,9.31,279.81,1240.81,333.52,46.44,328.33,98.44,9.93,268.56,1271.98,380.96,65.60,374.26,98.24,8.18,300.15,1079.78,98.72,,1093.69
2025-11-17 00:39:59,PQM,2025-11-17 00:39:00,1328.02,8.86,144.56,282.32,1395.71,396.69,12.26,394.84,99.54,9.05,279.31,1279.48,349.57,56.53,343.34,98.22,9.79,268.09,1308.87,400.32,75.78,391.62,97.83,7.73,299.56,1129.80,98.53,,1146.58
2025-11-17 00:40:59,PQM,2025-11-17 00:40:00,1325.75,8.87,134.66,282.59,1395.13,392.00,9.43,390.06,99.51,9.03,279.54,1278.87,343.12,52.06,337.34,98.31,9.73,268.32,1303.24,393.92,73.17,385.04,97.75,7.86,299.92,1112.44,98.52,,1129.03
2025-11-17 00:41:59,PQM,2025-11-17 00:41:00,1306.84,8.87,129.29,282.70,1368.78,389.35,7.17,387.56,99.54,8.97,279.63,1255.49,340.43,50.75,334.94,98.39,9.75,268.36,1296.24,392.62,71.37,384.54,97.94,7.88,300.12,1107.04,98.62,,1122.40
